Year,NOC,region,Sport,Event,Medal
2008,GBR,UK,Athletics,Athletics Women's 400 metres Hurdles,Bronze
2000,UKR,Ukraine,Boxing,Boxing Men's Bantamweight,Bronze
1968,MNG,,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
2008,FRA,France,Judo,Judo Men's Half-Lightweight,Silver
2016,AUS,Australia,Sailing,Sailing Mixed Multihull,Silver
1988,HUN,Hungary,Swimming,Swimming Men's 200 metres Individual Medley,Gold
1988,HUN,Hungary,Swimming,Swimming Men's 400 metres Individual Medley,Gold
1992,HUN,Hungary,Swimming,Swimming Men's 400 metres Individual Medley,Gold
1964,FRA,France,Rowing,Rowing Men's Coxed Pairs,Silver
2016,RUS,Russia,Archery,Archery Women's Team,Silver
1988,GDR,Germany,Swimming,Swimming Men's 400 metres Freestyle,Gold
1988,GDR,Germany,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
1988,GDR,Germany,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1976,JPN,Japan,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
1992,FRA,France,Fencing,"Fencing Men's Sabre, Team",Bronze
1996,USA,USA,Tennis,Tennis Women's Singles,Gold
1968,USA,USA,Athletics,Athletics Men's 110 metres Hurdles,Gold
1976,USA,USA,Athletics,Athletics Men's 110 metres Hurdles,Bronze
1992,FRA,France,Sailing,Sailing Men's Windsurfer,Gold
1972,USA,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1984,USA,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
1996,USA,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1972,GBR,UK,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
2004,GBR,UK,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
2008,GBR,UK,Swimming,Swimming Men's 10 kilometres Open Water,Silver
1988,AUS,Australia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
1964,NZL,New Zealand,Athletics,"Athletics Men's 1,500 metres",Bronze
1964,GBR,UK,Athletics,Athletics Men's Long Jump,Gold
1980,GBR,UK,Swimming,Swimming Women's 400 metres Individual Medley,Silver
1984,USA,USA,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
1976,USA,USA,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
1960,USA,USA,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
2008,AUS,Australia,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
1996,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1996,USA,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
2000,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
2016,USA,USA,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
1960,USA,USA,Athletics,Athletics Men's 400 metres,Gold
2000,NOR,Norway,Sailing,Sailing Mixed Three Person Keelboat,Bronze
1984,USA,USA,Sailing,Sailing Mixed Three Person Keelboat,Gold
1984,CAN,Canada,Swimming,Swimming Men's 100 metres Breaststroke,Silver
1984,CAN,Canada,Swimming,Swimming Men's 200 metres Breaststroke,Gold
1984,CAN,Canada,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1988,CAN,Canada,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1976,USA,USA,Boxing,Boxing Men's Lightweight,Gold
2000,BHS,,Athletics,Athletics Women's 200 metres,Gold
2008,ARM,Armenia,Weightlifting,Weightlifting Men's Middleweight,Bronze
1996,BLR,Belarus,Rowing,Rowing Women's Coxed Eights,Bronze
1976,RUS,Russia,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
2004,RUS,Russia,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
2008,RUS,Russia,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
2008,RUS,Russia,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
2012,RUS,Russia,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
2008,UKR,Ukraine,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
1980,RUS,Russia,Gymnastics,Gymnastics Women's Individual All-Around,Gold
1980,RUS,Russia,Gymnastics,Gymnastics Women's Team All-Around,Gold
1980,RUS,Russia,Gymnastics,Gymnastics Women's Balance Beam,Silver
1996,USA,USA,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
2016,NZL,New Zealand,Cycling,Cycling Men's Team Sprint,Silver
2012,JAM,Jamaica,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
2016,JAM,Jamaica,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1968,CAN,Canada,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
2008,USA,USA,Cycling,Cycling Men's BMX,Silver
1996,BRA,Brazil,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2000,BRA,Brazil,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2008,BRA,Brazil,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1984,CHE,,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
1992,ITA,Italy,Athletics,Athletics Men's 20 kilometres Walk,Bronze
2000,NLD,,Swimming,Swimming Women's 50 metres Freestyle,Gold
2000,NLD,,Swimming,Swimming Women's 100 metres Freestyle,Gold
2000,NLD,,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
2000,NLD,,Swimming,Swimming Women's 100 metres Butterfly,Gold
2004,NLD,,Swimming,Swimming Women's 50 metres Freestyle,Gold
2004,NLD,,Swimming,Swimming Women's 100 metres Freestyle,Silver
2004,NLD,,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
2004,NLD,,Swimming,Swimming Women's 100 metres Butterfly,Bronze
2016,CAN,Canada,Athletics,Athletics Men's 100 metres,Bronze
2016,CAN,Canada,Athletics,Athletics Men's 200 metres,Silver
2004,NLD,,Rowing,Rowing Women's Coxed Eights,Bronze
2008,NLD,,Rowing,Rowing Women's Coxed Eights,Silver
1996,NLD,,Hockey,Hockey Women's Hockey,Bronze
1988,CHL,,Shooting,Shooting Mixed Skeet,Silver
1980,NLD,,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
2012,CAN,Canada,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze
1992,NLD,,Judo,Judo Women's Half-Heavyweight,Bronze
1992,USA,USA,Boxing,Boxing Men's Lightweight,Gold
2004,BRA,Brazil,Athletics,Athletics Men's Marathon,Bronze
1976,BRA,Brazil,Athletics,Athletics Men's Triple Jump,Bronze
1980,BRA,Brazil,Athletics,Athletics Men's Triple Jump,Bronze
1968,BRA,Brazil,Boxing,Boxing Men's Flyweight,Bronze
1960,ITA,Italy,Boxing,Boxing Men's Heavyweight,Gold
1984,NLD,,Swimming,Swimming Women's 100 metres Backstroke,Bronze
1984,NLD,,Swimming,Swimming Women's 200 metres Backstroke,Gold
1964,USA,USA,Swimming,Swimming Women's 400 metres Individual Medley,Gold
1992,NLD,,Sailing,Sailing Women's Windsurfer,Bronze
2000,BEL,Belgium,Cycling,Cycling Men's Madison,Silver
2004,AUS,Australia,Athletics,Athletics Men's 20 kilometres Walk,Bronze
1996,USA,USA,Athletics,Athletics Men's Hammer Throw,Silver
1972,USA,USA,Sailing,Sailing Mixed Two Person Keelboat,Bronze
1968,AUS,Australia,Hockey,Hockey Men's Hockey,Silver
1964,USA,USA,Sailing,Sailing Mixed Three Person Keelboat,Bronze
2000,BLR,Belarus,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
2000,SVN,,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
2008,SVN,,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
2012,SVN,,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
1992,FRA,France,Handball,Handball Men's Handball,Bronze
1996,BEL,Belgium,Swimming,Swimming Men's 100 metres Breaststroke,Gold
2008,FRA,France,Judo,Judo Women's Half-Middleweight,Silver
2012,FRA,France,Judo,Judo Women's Middleweight,Gold
2000,FRA,France,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
2012,DEU,,Hockey,Hockey Men's Hockey,Gold
1992,USA,USA,Athletics,Athletics Men's 110 metres Hurdles,Silver
2004,ETH,Ethiopia,Athletics,"Athletics Women's 5,000 metres",Gold
2008,ETH,Ethiopia,Athletics,"Athletics Women's 5,000 metres",Bronze
2012,ETH,Ethiopia,Athletics,"Athletics Women's 5,000 metres",Gold
2000,ESP,Spain,Gymnastics,Gymnastics Men's Horse Vault,Gold
2004,ESP,Spain,Gymnastics,Gymnastics Men's Horse Vault,Gold
2008,ESP,Spain,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1996,CAN,Canada,Boxing,Boxing Men's Heavyweight,Silver
2016,FRA,France,Sailing,Sailing Women's Two Person Dinghy,Bronze
2008,GBR,UK,Boxing,Boxing Men's Middleweight,Gold
1992,NLD,,Cycling,"Cycling Men's Road Race, Individual",Silver
2008,NLD,,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2012,NLD,,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
2012,ARG,Argentina,Tennis,Tennis Men's Singles,Bronze
2016,ARG,Argentina,Tennis,Tennis Men's Singles,Silver
1980,ESP,Spain,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
2008,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
2008,FRA,France,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
1980,BGR,,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
1980,BGR,,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
1996,BGR,,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1984,FRA,France,Swimming,Swimming Men's 200 metres Backstroke,Silver
1964,FRA,France,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2004,ARG,Argentina,Basketball,Basketball Men's Basketball,Gold
2008,ARG,Argentina,Basketball,Basketball Men's Basketball,Bronze
1960,ITA,Italy,Fencing,"Fencing Men's epee, Individual",Gold
1960,ITA,Italy,Fencing,"Fencing Men's epee, Team",Gold
1980,BRA,Brazil,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2000,PRT,,Judo,Judo Men's Half-Middleweight,Bronze
1968,MEX,Mexico,Boxing,Boxing Men's Flyweight,Gold
1992,NLD,,Boxing,Boxing Men's Light-Middleweight,Silver
1980,CUB,Cuba,Athletics,Athletics Men's Discus Throw,Bronze
2012,USA,USA,Rowing,Rowing Women's Quadruple Sculls,Bronze
1964,USA,USA,Athletics,"Athletics Men's 5,000 metres",Bronze
1992,USA,USA,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
1960,HUN,Hungary,Fencing,"Fencing Men's Sabre, Team",Gold
2012,USA,USA,Athletics,Athletics Women's Long Jump,Bronze
1988,USA,USA,Athletics,Athletics Men's 200 metres,Gold
1988,FRA,France,Fencing,"Fencing Men's epee, Team",Gold
1984,FRA,France,Fencing,"Fencing Men's Sabre, Team",Silver
1964,JPN,Japan,Volleyball,Volleyball Men's Volleyball,Bronze
1996,USA,USA,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze
1980,POL,Poland,Weightlifting,Weightlifting Men's Bantamweight,Bronze
1972,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
2012,UKR,Ukraine,Rowing,Rowing Women's Quadruple Sculls,Gold
2000,RUS,Russia,Tennis,Tennis Women's Singles,Silver
2008,RUS,Russia,Tennis,Tennis Women's Singles,Gold
1984,CAN,Canada,Weightlifting,Weightlifting Men's Middleweight,Silver
2004,USA,USA,Cycling,Cycling Women's Individual Time Trial,Silver
1968,ARG,Argentina,Rowing,Rowing Men's Single Sculls,Bronze
1972,ARG,Argentina,Rowing,Rowing Men's Single Sculls,Silver
1996,TUR,Turkey,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
2016,BGR,,Athletics,Athletics Women's High Jump,Silver
2016,TUR,Turkey,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
2000,FRA,France,Judo,Judo Men's Middleweight,Bronze
2004,GBR,UK,Sailing,Sailing Men's Windsurfer,Bronze
2012,GBR,UK,Sailing,Sailing Men's Windsurfer,Silver
2016,GBR,UK,Sailing,Sailing Men's Windsurfer,Silver
2012,USA,USA,Athletics,Athletics Women's 400 metres Hurdles,Silver
2016,AZE,Azerbaijan,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Silver
1980,RUS,Russia,Boxing,Boxing Men's Lightweight,Silver
1992,EUN,Russia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
1968,NLD,,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
1984,AUS,Australia,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
1988,RUS,Russia,Swimming,Swimming Women's 200 metres Individual Medley,Silver
2012,CHN,China,Gymnastics,Gymnastics Women's Balance Beam,Gold
2016,CHN,China,Gymnastics,Gymnastics Men's Team All-Around,Bronze
2016,CHN,China,Weightlifting,Weightlifting Women's Middleweight,Gold
1992,CHN,China,Table Tennis,Table Tennis Women's Singles,Gold
1996,CHN,China,Table Tennis,Table Tennis Women's Singles,Gold
1996,CHN,China,Table Tennis,Table Tennis Women's Doubles,Gold
2012,RUS,Russia,Taekwondo,Taekwondo Men's Flyweight,Bronze
2016,RUS,Russia,Taekwondo,Taekwondo Men's Featherweight,Silver
1988,RUS,Russia,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
1988,RUS,Russia,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1972,RUS,Russia,Fencing,"Fencing Men's Foil, Team",Silver
1984,USA,USA,Athletics,Athletics Women's Discus Throw,Silver
1996,AUS,Australia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
2012,AUS,Australia,Triathlon,Triathlon Women's Olympic Distance,Bronze
1984,NLD,,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
2000,USA,USA,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
2012,RUS,Russia,Fencing,"Fencing Women's Foil, Team",Silver
2016,RUS,Russia,Fencing,"Fencing Women's Foil, Individual",Gold
1968,ROU,Romania,Fencing,"Fencing Women's Foil, Team",Bronze
1972,ROU,Romania,Fencing,"Fencing Women's Foil, Team",Bronze
2012,CUB,Cuba,Taekwondo,Taekwondo Men's Heavyweight,Bronze
2004,CAN,Canada,Diving,Diving Men's Springboard,Silver
2008,CAN,Canada,Diving,Diving Men's Springboard,Silver
1980,HUN,Hungary,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
2016,ITA,Italy,Swimming,Swimming Men's 400 metres Freestyle,Bronze
2016,ITA,Italy,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
1992,USA,USA,Athletics,Athletics Women's 100 metres,Gold
1996,USA,USA,Athletics,Athletics Women's 100 metres,Gold
1996,USA,USA,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2004,GRC,,Athletics,Athletics Women's Triple Jump,Silver
2008,GRC,,Athletics,Athletics Women's Triple Jump,Bronze
1960,AUS,Australia,Swimming,Swimming Men's 100 metres Freestyle,Gold
1960,AUS,Australia,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2000,ITA,Italy,Sailing,Sailing Men's One Person Dinghy,Silver
2008,BLR,Belarus,Athletics,Athletics Men's Hammer Throw,Silver
1996,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
1984,CAN,Canada,Boxing,Boxing Men's Heavyweight,Silver
1960,ITA,Italy,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
2016,BEL,Belgium,Cycling,Cycling Women's Omnium,Bronze
1960,ITA,Italy,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
1960,ITA,Italy,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1964,ITA,Italy,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1972,ITA,Italy,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2008,ITA,Italy,Archery,Archery Men's Team,Silver
1996,ITA,Italy,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
1996,ITA,Italy,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
2012,ITA,Italy,Fencing,"Fencing Women's Foil, Individual",Gold
2012,ITA,Italy,Fencing,"Fencing Women's Foil, Team",Gold
2016,ITA,Italy,Fencing,"Fencing Women's Foil, Individual",Silver
2000,FRA,France,Fencing,"Fencing Men's epee, Team",Silver
2000,FRA,France,Tennis,Tennis Men's Singles,Bronze
1988,SEN,Senegal,Athletics,Athletics Men's 400 metres Hurdles,Silver
1996,AUS,Australia,Shooting,Shooting Men's Trap,Gold
2000,AUS,Australia,Shooting,Shooting Men's Trap,Gold
2008,DOM,Dominican Republic,Boxing,Boxing Men's Light-Welterweight,Gold
2016,PHL,,Weightlifting,Weightlifting Women's Featherweight,Silver
1976,ROU,Romania,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
1976,ROU,Romania,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
1980,ROU,Romania,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
1980,ROU,Romania,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
2004,ETH,Ethiopia,Athletics,"Athletics Women's 10,000 metres",Silver
2016,ETH,Ethiopia,Athletics,"Athletics Women's 1,500 metres",Silver
2016,ETH,Ethiopia,Athletics,Athletics Women's Marathon,Bronze
2008,ETH,Ethiopia,Athletics,"Athletics Women's 10,000 metres",Gold
2012,ETH,Ethiopia,Athletics,"Athletics Women's 10,000 metres",Gold
1964,ITA,Italy,Diving,Diving Men's Platform,Silver
1968,ITA,Italy,Diving,Diving Men's Springboard,Silver
1968,ITA,Italy,Diving,Diving Men's Platform,Gold
1976,ITA,Italy,Diving,Diving Men's Platform,Gold
2008,DEU,,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
1984,USA,USA,Swimming,Swimming Men's 400 metres Freestyle,Gold
1984,USA,USA,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
1964,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
1968,AUS,Australia,Rowing,Rowing Men's Coxed Eights,Silver
1980,ROU,Romania,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1972,RUS,Russia,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2016,LTU,Lithuania,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
1992,USA,USA,Swimming,Swimming Men's 100 metres Breaststroke,Gold
1984,USA,USA,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
1980,GDR,Germany,Swimming,Swimming Women's 100 metres Freestyle,Bronze
1980,GDR,Germany,Swimming,Swimming Women's 200 metres Freestyle,Silver
1980,GDR,Germany,Swimming,Swimming Women's 400 metres Freestyle,Gold
1980,GDR,Germany,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1976,DEU,,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
1976,GDR,Germany,Rowing,Rowing Men's Coxed Fours,Silver
1980,GDR,Germany,Rowing,Rowing Men's Coxed Fours,Gold
2016,CHE,,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
1960,DEU,,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
1960,DEU,,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
1964,DEU,,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
1968,DEU,,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
1984,CHE,,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
2012,DEU,,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
2012,DEU,,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
2016,DEU,,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
2016,DEU,,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
2000,KAZ,Kazakhstan,Boxing,Boxing Men's Super-Heavyweight,Silver
1980,CHE,,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
1992,GRC,,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
1996,GRC,,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
2000,GRC,,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
2004,GRC,,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
1992,USA,USA,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
1980,BGR,,Weightlifting,Weightlifting Men's Featherweight,Silver
1968,BGR,,Football,Football Men's Football,Silver
2012,CHN,China,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
2000,CHN,China,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold
2012,CHN,China,Table Tennis,Table Tennis Women's Singles,Silver
2012,CHN,China,Table Tennis,Table Tennis Women's Team,Gold
2016,CHN,China,Table Tennis,Table Tennis Women's Singles,Gold
2016,CHN,China,Table Tennis,Table Tennis Women's Team,Gold
2016,CHN,China,Volleyball,Volleyball Women's Volleyball,Gold
1964,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
1968,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
1968,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Bronze
2016,USA,USA,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
2016,USA,USA,Swimming,Swimming Women's 200 metres Backstroke,Gold
2016,USA,USA,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
2016,USA,USA,Swimming,Swimming Women's 400 metres Individual Medley,Silver
2004,USA,USA,Boxing,Boxing Men's Middleweight,Bronze
2016,DEU,,Handball,Handball Men's Handball,Bronze
2008,ROU,Romania,Athletics,Athletics Women's Marathon,Gold
1988,GDR,Germany,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
1992,DEU,,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
1996,DEU,,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
2000,DEU,,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
2000,DEU,,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
2004,DEU,,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
2004,DEU,,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
1980,RUS,Russia,Gymnastics,Gymnastics Men's Parallel Bars,Silver
1980,RUS,Russia,Gymnastics,Gymnastics Men's Rings,Gold
1980,RUS,Russia,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
2008,USA,USA,Athletics,Athletics Men's 100 metres,Bronze
1972,NZL,New Zealand,Athletics,"Athletics Men's 1,500 metres",Bronze
2008,FRA,France,Boxing,Boxing Men's Featherweight,Silver
1980,POL,Poland,Rowing,Rowing Women's Coxless Pairs,Silver
2016,RUS,Russia,Cycling,Cycling Men's Sprint,Bronze
1972,RUS,Russia,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold
1976,RUS,Russia,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
2012,RUS,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
1980,RUS,Russia,Rowing,Rowing Men's Coxed Eights,Bronze
2012,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
